Organ,Replicate,GF.SPF,Weeks,Exp,Code
SI,1,GF,78,Ex01279,S08404
LI,1,GF,78,Ex01279,S08405
Ce,1,GF,78,Ex01279,S08406
SI,2,GF,78,Ex01279,S08407
LI,2,GF,78,Ex01279,S08408
Ce,2,GF,78,Ex01279,S08409
SI,3,GF,78,Ex01279,S08410
LI,3,GF,78,Ex01279,S08411
Ce,3,GF,78,Ex01279,S08412
SI,1,SPF,78,Ex01278,S08395
LI,1,SPF,78,Ex01278,S08396
Ce,1,SPF,78,Ex01278,S08397
SI,2,SPF,78,Ex01278,S08398
LI,2,SPF,78,Ex01278,S08399
Ce,2,SPF,78,Ex01278,S08400
SI,3,SPF,78,Ex01278,S08401
LI,3,SPF,78,Ex01278,S08402
Ce,3,SPF,78,Ex01278,S08403
SI,1,GF,3,Ex01277,S08386
LI,1,GF,3,Ex01277,S08387
Ce,1,GF,3,Ex01277,S08388
SI,2,GF,3,Ex01277,S08389
LI,2,GF,3,Ex01277,S08390
Ce,2,GF,3,Ex01277,S08391
SI,3,GF,3,Ex01277,S08392
LI,3,GF,3,Ex01277,S08393
Ce,3,GF,3,Ex01277,S08394
SI,1,SPF,3,Ex01275,S08368
LI,1,SPF,3,Ex01275,S08369
Ce,1,SPF,3,Ex01275,S08370
SI,2,SPF,3,Ex01275,S08380
LI,2,SPF,3,Ex01275,S08381
Ce,2,SPF,3,Ex01275,S08382
SI,3,SPF,3,Ex01275,S08383
LI,3,SPF,3,Ex01275,S08384
Ce,3,SPF,3,Ex01275,S08385
SI,1,GF,17,Ex01041,S06856
LI,1,GF,17,Ex01041,S06857
Ce,1,GF,17,Ex01041,S06858
SI,2,GF,17,Ex01041,S06859
LI,2,GF,17,Ex01041,S06860
Ce,2,GF,17,Ex01041,S06861
SI,3,GF,17,Ex01041,S06862
LI,3,GF,17,Ex01041,S06863
Ce,3,GF,17,Ex01041,S06864
SI,1,SPF,17,Ex01094,S07208
LI,1,SPF,17,Ex01094,S07209
Ce,1,SPF,17,Ex01094,S07210
SI,2,SPF,17,Ex01094,S07211
LI,2,SPF,17,Ex01094,S07212
Ce,2,SPF,17,Ex01094,S07213
SI,3,SPF,17,Ex01094,S07214
LI,3,SPF,17,Ex01094,S07215
Ce,3,SPF,17,Ex01094,S07216
