"","ID","Age","Condition","Tissue","Replicate","Bisulfite","OX","Sample","Year","fname","fpath","Age_w","index"
"1",1,"3 weeks","GF","SI",1,"+","+","S02140",2018,"RRBS-1_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2018/RRBS-1_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","3","SI_GF_3_+_1"
"2",2,"3 weeks","GF","SI",1,"-","-","S02141",2018,"RRBS-2_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2018/RRBS-2_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","3","SI_GF_3_-_1"
"3",3,"3 weeks","SPF","SI",1,"+","+","S02142",2018,"RRBS-3_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2018/RRBS-3_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","3","SI_SPF_3_+_1"
"4",4,"3 weeks","SPF","SI",1,"-","-","S02143",2018,"RRBS-4_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2018/RRBS-4_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","3","SI_SPF_3_-_1"
"5",5,"17 weeks","GF","SI",1,"+","+","S02144",2018,"RRBS-5_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2018/RRBS-5_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","17","SI_GF_17_+_1"
"6",6,"17 weeks","GF","SI",1,"-","-","S02145",2018,"RRBS-6_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2018/RRBS-6_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","17","SI_GF_17_-_1"
"7",7,"17 weeks","SPF","SI",1,"+","+","S02146",2018,"RRBS-7_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2018/RRBS-7_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","17","SI_SPF_17_+_1"
"8",8,"17 weeks","SPF","SI",1,"-","-","S02147",2018,"RRBS-8_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2018/RRBS-8_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","17","SI_SPF_17_-_1"
"9",9,"1.5 year","GF","SI",1,"+","+","S02148",2018,"RRBS-9_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2018/RRBS-9_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","78","SI_GF_78_+_1"
"10",10,"1.5 year","GF","SI",1,"-","-","S02149",2018,"RRBS-10_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2018/RRBS-10_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","78","SI_GF_78_-_1"
"11",11,"1.5 year","SPF","SI",1,"+","+","S02150",2018,"RRBS-11_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2018/RRBS-11_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","78","SI_SPF_78_+_1"
"12",12,"1.5 year","SPF","SI",1,"-","-","S02151",2018,"RRBS-12_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2018/RRBS-12_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","78","SI_SPF_78_-_1"
"13",13,"3 weeks","GF","SI",2,"+","+","S02144",2018,"RRBS-13_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2018/RRBS-13_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","3","SI_GF_3_+_2"
"14",14,"3 weeks","GF","SI",2,"-","-","S02145",2018,"RRBS-14_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2018/RRBS-14_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","3","SI_GF_3_-_2"
"15",15,"3 weeks","SPF","SI",2,"+","+","S02146",2018,"RRBS-15_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2018/RRBS-15_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","3","SI_SPF_3_+_2"
"16",16,"3 weeks","SPF","SI",2,"-","-","S02147",2018,"RRBS-16_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2018/RRBS-16_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","3","SI_SPF_3_-_2"
"17",17,"17 weeks","GF","SI",2,"+","+","S02148",2018,"RRBS-17_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2018/RRBS-17_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","17","SI_GF_17_+_2"
"18",18,"17 weeks","GF","SI",2,"-","-","S02149",2018,"RRBS-18_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2018/RRBS-18_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","17","SI_GF_17_-_2"
"19",19,"17 weeks","SPF","SI",2,"+","+","S02150",2018,"RRBS-19_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2018/RRBS-19_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","17","SI_SPF_17_+_2"
"20",20,"17 weeks","SPF","SI",2,"-","-","S02151",2018,"RRBS-20_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2018/RRBS-20_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","17","SI_SPF_17_-_2"
"21",21,"1.5 year","GF","SI",2,"+","+","S02152",2018,"RRBS-21_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2018/RRBS-21_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","78","SI_GF_78_+_2"
"22",22,"1.5 year","GF","SI",2,"-","-","S02153",2018,"RRBS-22_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2018/RRBS-22_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","78","SI_GF_78_-_2"
"23",23,"1.5 year","SPF","SI",2,"+","+","S02154",2018,"RRBS-23_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2018/RRBS-23_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","78","SI_SPF_78_+_2"
"24",24,"1.5 year","SPF","SI",2,"-","-","S02155",2018,"RRBS-24_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","/Users/tsunghanhsieh/aging_BalbC-tsunghan-dev/Raw/RRBS/cpg_2018/RRBS-24_1_val_1_trimmed_bismark_bt2_pe.CpG_report.txt.gz","78","SI_SPF_78_-_2"
